#{"t_start": 1761919861.099034, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
305.0,2861,1523.687027
545.0,2796,1525.027512
605.0,4091,1526.972449
985.0,5943,1529.888881
545.0,3663,1531.671229
325.0,3313,1533.299662
750.0,4019,1535.257478
1035.0,5285,1537.839813
575.0,4149,1539.849592
545.0,3993,1541.749358
520.0,3975,1543.650505
575.0,4219,1545.681877
545.0,3934,1547.607641
605.0,3653,1549.39009
390.0,3161,1550.930758
635.0,4883,1553.264178
600.0,4149,1555.239876
570.0,3409,1556.876616
465.0,3869,1558.741284
725.0,2998,1560.187709
545.0,4211,1562.191365
600.0,4033,1564.117837
600.0,3347,1565.710875
290.0,2263,1566.805497
830.0,5403,1573.222445
275.0,2803,1574.57269
540.0,4261,1576.61263
800.0,5513,1579.252347
770.0,4527,1581.412045
110.0,1351,1582.065044
460.0,3837,1583.88369
550.0,4160,1585.88223
210.0,2883,1587.276896
555.0,3615,1588.990014
475.0,3711,1590.767709
225.0,2019,1591.739013
970.0,3465,1593.398544
315.0,2661,1594.680041
240.0,2107,1595.715152
460.0,4145,1597.680081
395.0,3235,1599.231171
665.0,5527,1601.872524
1575.0,8279,1605.820193
525.0,3702,1607.590934
775.0,3498,1609.255847
575.0,3792,1611.075734
610.0,4645,1613.293542
450.0,3025,1614.747018
575.0,3795,1616.557526
685.0,4177,1618.546814
800.0,5319,1626.946551
600.0,4785,1629.239455
320.0,2891,1630.640229
250.0,2823,1632.010869
495.0,3809,1633.813855
695.0,3377,1635.428576
465.0,3613,1637.154505
600.0,4351,1639.229207
500.0,3219,1640.777824
545.0,3484,1642.428892
570.0,4533,1644.600121
1005.0,3675,1646.347615
335.0,2327,1647.490719
380.0,2351,1648.657629
455.0,3449,1650.337367
1025.0,6383,1653.432074
250.0,2321,1654.546881
320.0,2156,1655.595976
600.0,3431,1657.229007
320.0,2220,1658.30448
580.0,4140,1660.294701
535.0,4438,1662.436685
600.0,4593,1664.62143
435.0,3017,1666.072392
450.0,4005,1667.991882
605.0,3707,1669.754284
1285.0,7003,1673.145943
470.0,3259,1674.718556
800.0,3723,1681.185198
290.0,2785,1682.536568
800.0,4433,1684.648163
545.0,3874,1686.484436
605.0,3817,1688.298867
545.0,4377,1690.366822
800.0,5229,1692.84705
800.0,4209,1694.841571
665.0,4181,1696.848738
490.0,3855,1698.687813
600.0,3783,1700.498558
515.0,4037,1702.433168
800.0,4089,1704.37921
725.0,3499,1706.061706
520.0,4425,1708.169662
600.0,4269,1710.205975
800.0,4087,1712.159834
570.0,4561,1714.346827
485.0,3419,1716.006503
555.0,4110,1717.957114
630.0,4407,1720.041386
575.0,4048,1721.993042
660.0,5001,1724.425184
850.0,4903,1726.830346
1295.0,6963,1736.781708
175.0,1997,1737.751358
780.0,4005,1739.673794
1800.0,8195,1743.573744
1115.0,6706,1746.80627
570.0,4460,1748.918477
755.0,3562,1750.62042
450.0,3439,1752.266798
605.0,3461,1753.919699
260.0,3263,1755.496549
775.0,3863,1757.340875
570.0,3770,1759.152664
600.0,5619,1761.820761
570.0,4446,1763.930069
525.0,3755,1765.73869
855.0,5443,1768.331823
500.0,3201,1769.860626
605.0,4643,1772.115906
550.0,3523,1773.825888
445.0,3729,1775.647212
600.0,3961,1777.571854
575.0,4335,1779.686906
945.0,3579,1781.446155
605.0,3827,1783.303518
540.0,3061,1790.708855
745.0,3358,1792.356896
515.0,3413,1793.995345
235.0,2299,1795.12514
600.0,4033,1797.086371
445.0,3230,1798.682737
460.0,3841,1800.561591
445.0,3551,1802.304488
545.0,3863,1804.179275
390.0,2469,1805.364355
800.0,3993,1807.253824
545.0,4130,1809.231109
360.0,2653,1810.517659
570.0,3929,1812.394687
755.0,5276,1814.93091
330.0,3788,1816.770101
600.0,3691,1818.528423
570.0,4203,1820.542379
1060.0,7557,1824.179556
820.0,6127,1827.149934
570.0,4445,1829.298843
525.0,3902,1831.185299
490.0,3989,1833.091819
770.0,4369,1835.169966
550.0,3959,1837.0765
515.0,3923,1844.727045
545.0,3809,1846.549129
570.0,4390,1848.647648
600.0,3597,1850.386725
745.0,3530,1852.090551
390.0,3319,1853.688053
200.0,2323,1854.818843
150.0,2253,1855.916262
695.0,3201,1857.453913
405.0,2937,1858.876537
600.0,3571,1860.584972
1035.0,7933,1864.450495
470.0,3753,1866.261267
330.0,2357,1867.425105
440.0,3503,1869.132615
570.0,3812,1870.954112
495.0,3593,1872.682963
600.0,4943,1875.048937
545.0,3951,1876.970385
915.0,6191,1880.023474
570.0,3799,1881.91095
715.0,3781,1883.768831
1125.0,7619,1887.476178
545.0,3308,1889.065963
570.0,4048,1891.031276
1255.0,7653,1901.014498
540.0,4213,1903.023366
410.0,2871,1904.415443
295.0,3307,1906.01429
545.0,4005,1907.957614
495.0,3105,1909.473135
715.0,4341,1911.588248
520.0,3818,1913.477394
570.0,4107,1915.490957
490.0,3467,1917.192408
800.0,3993,1919.170808
1130.0,6707,1922.469886
570.0,3841,1924.323486
575.0,4027,1926.241412
600.0,3919,1928.109721
470.0,4153,1930.122498
465.0,3165,1931.641584
485.0,4043,1933.591046
510.0,3707,1935.374798
425.0,3059,1936.852976
575.0,3999,1938.767556
525.0,3819,1940.614542
570.0,3713,1942.399621
745.0,4875,1944.805347
900.0,5931,1947.710541
495.0,4047,1956.019513
400.0,2681,1957.313454
725.0,3446,1958.987761
175.0,2081,1960.019485
380.0,2519,1961.27038
570.0,4523,1963.476482
340.0,2412,1964.671647
555.0,3294,1966.263976
545.0,3579,1968.002988
600.0,4211,1970.045885
600.0,4709,1972.288242
600.0,4335,1974.375123
350.0,3089,1975.893202
950.0,3633,1977.658659
600.0,4321,1979.76053
700.0,4593,1982.003266
565.0,3906,1983.918434
430.0,3506,1985.629627
575.0,3361,1987.280733
520.0,4343,1989.397301
1020.0,5347,1992.049151
600.0,3809,1993.912049
770.0,5799,1996.76357
875.0,6523,1999.962442
710.0,4843,2002.276702
