#{"t_start": 1761919861.099034, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
265.0,1961,164.144175
175.0,2411,165.347343
105.0,2101,166.38795
360.0,2773,167.778554
110.0,2053,168.847443
490.0,4401,171.075663
370.0,4751,173.47884
335.0,3711,175.340701
135.0,2483,176.584049
225.0,2803,178.003868
240.0,3485,179.732826
205.0,1943,180.724121
350.0,4585,185.29976
50.0,1139,185.874056
135.0,2405,187.05106
130.0,1961,188.009142
125.0,1617,188.792468
215.0,2385,189.986044
240.0,4479,192.226523
250.0,4005,194.238238
220.0,2389,195.437755
115.0,1833,196.355284
220.0,2557,197.652554
505.0,5135,200.190482
150.0,2443,201.407058
215.0,2041,202.428473
265.0,3573,204.218441
195.0,2067,205.254423
270.0,2733,206.6113
105.0,1527,207.372958
140.0,1855,208.292249
220.0,1925,209.263226
105.0,1641,210.077369
55.0,1003,210.582561
190.0,2109,211.642929
150.0,1997,212.643071
280.0,2119,213.702232
290.0,2875,215.161473
410.0,3733,217.060822
190.0,1847,218.053593
185.0,2029,219.112648
130.0,1735,219.99858
170.0,1917,220.961771
520.0,3681,222.784734
295.0,3083,224.326566
190.0,1993,225.336417
275.0,3303,227.030392
415.0,3305,228.710409
360.0,3509,230.464153
310.0,3495,232.20187
375.0,4003,234.135518
110.0,1889,235.056182
195.0,3123,239.172276
260.0,2409,240.347486
140.0,1787,241.205098
450.0,2877,242.605517
245.0,3395,244.278755
235.0,2423,245.476044
190.0,2743,246.842491
285.0,2535,248.088414
170.0,2765,249.449237
300.0,2953,250.915813
200.0,1991,251.910281
210.0,2451,253.096425
185.0,1989,254.089299
330.0,2279,255.211451
175.0,1883,256.123844
290.0,2755,257.462941
210.0,1935,258.390719
315.0,2997,259.831038
105.0,1415,260.509197
175.0,2073,261.521596
295.0,2811,262.884286
435.0,5127,265.42649
460.0,3271,267.025058
130.0,1863,267.944364
270.0,2479,269.15478
205.0,1919,270.098565
375.0,2629,271.410724
215.0,2701,272.745013
265.0,3425,274.442587
